distance_cat,scenario,distance_m,n_lights,car_time_s,bike_time_s,diff_time,winner
SHORT,OFF_PEAK,1919.908492967668,9,623.858492358202,528.4348477973126,95.42364456088944,Bike
SHORT,OFF_PEAK,1476.601749533794,2,392.76118182673144,347.7194316000137,45.04175022671774,Bike
SHORT,OFF_PEAK,1630.5240989870613,1,515.3909658109083,385.88061033364534,129.51035547726292,Bike
SHORT,OFF_PEAK,1097.4326021737863,4,403.3059729466189,264.1581704068233,139.14780253979563,Bike
SHORT,OFF_PEAK,2026.4665674692021,4,446.1650373484971,530.4714661933758,-84.30642884487872,Car
SHORT,OFF_PEAK,400.2982919817486,0,169.1439270379918,102.97750035581268,66.16642668217912,Bike
SHORT,OFF_PEAK,1921.599265188123,2,346.4712891505077,559.9957800417021,-213.52449089119443,Car
SHORT,OFF_PEAK,644.1682352530228,0,187.2574872544614,142.15787012087597,45.09961713358544,Bike
SHORT,OFF_PEAK,2173.7910360245796,0,290.98724107273244,509.9335605505844,-218.94631947785194,Car
SHORT,OFF_PEAK,3694.8070921471603,4,736.0813752424261,845.1815256367937,-109.10015039436757,Car
SHORT,OFF_PEAK,1701.340453869705,6,480.59847363758445,406.75553493018714,73.84293870739731,Bike
SHORT,OFF_PEAK,3163.0565843996987,0,601.2630223337906,675.0981953475468,-73.83517301375628,Car
SHORT,OFF_PEAK,1569.0747654174143,4,450.3169631617789,510.5613392013844,-60.24437603960547,Car
SHORT,OFF_PEAK,1199.3618637774991,0,298.0099813962322,251.72446027623639,46.28552111999582,Bike
SHORT,OFF_PEAK,1375.9840946690229,0,354.45954632695845,548.97896901341,-194.5194226864516,Car
SHORT,OFF_PEAK,1431.7882925431027,2,243.73320287151995,322.5850381631288,-78.85183529160884,Car
SHORT,OFF_PEAK,2609.8126652033743,1,373.30988068331374,547.2466346629734,-173.93675397965967,Car
SHORT,OFF_PEAK,1339.5859974383732,2,365.1762475706134,363.8091207637103,1.3671268069030589,Bike
SHORT,OFF_PEAK,367.8614052846525,0,125.97055036176587,117.84974219495528,8.12080816681059,Bike
SHORT,OFF_PEAK,1563.4738364505129,4,475.32944707939805,399.2952435637534,76.03420351564466,Bike
SHORT,OFF_PEAK,2221.1693165833426,5,531.939304011655,618.2898302087555,-86.35052619710041,Car
SHORT,OFF_PEAK,1693.6267089943112,3,584.8564390961049,380.28094053344375,204.5754985626611,Bike
SHORT,OFF_PEAK,2384.2741867954337,1,539.2338463288306,507.58151257956814,31.652333749262482,Bike
SHORT,OFF_PEAK,937.9869088633885,0,234.68733394466696,224.20265192589272,10.484682018774237,Bike
SHORT,OFF_PEAK,832.3699254728962,0,329.12820525307245,312.51918262023014,16.60902263284231,Bike
SHORT,OFF_PEAK,1705.493417857763,0,354.1888678157116,532.1710369646435,-177.98216914893186,Car
SHORT,OFF_PEAK,1356.4307914732067,0,300.08363329141326,327.20250834255324,-27.11887505113998,Car
SHORT,OFF_PEAK,1414.8288150626522,7,433.6312050913392,372.887669482335,60.7435356090042,Bike
SHORT,OFF_PEAK,709.8658726951394,0,196.1433250962354,160.63801993726258,35.50530515897282,Bike
SHORT,OFF_PEAK,1044.036720458649,2,400.38262376400183,251.99755180492517,148.38507195907667,Bike
SHORT,OFF_PEAK,1471.287058737909,0,324.180668540841,361.50918014576445,-37.32851160492345,Car
SHORT,OFF_PEAK,2284.7143926571457,4,918.484873565573,804.2348570578638,114.25001650770923,Bike
SHORT,OFF_PEAK,717.8273677889035,0,427.84339908481513,319.165900639598,108.67749844521711,Bike
SHORT,OFF_PEAK,784.2806169935335,0,157.05709802548424,275.11818343853616,-118.06108541305193,Car
SHORT,OFF_PEAK,2659.5234684456777,2,489.14579355298866,632.0849536550522,-142.93916010206357,Car
SHORT,OFF_PEAK,3099.605999505796,8,737.2599132463405,709.0070179640086,28.252895282331906,Bike
SHORT,OFF_PEAK,2022.2848652326381,6,594.4255416602987,594.3264095539612,0.09913210633749259,Bike
SHORT,OFF_PEAK,1552.976871024965,9,600.3578627136212,435.3346687581692,165.02319395545203,Bike
SHORT,OFF_PEAK,2644.5631733449814,0,479.30921535998357,586.3207301708345,-107.01151481085094,Car
SHORT,OFF_PEAK,2755.2038405489006,3,618.7778949628388,718.8156166499208,-100.03772168708201,Car
SHORT,OFF_PEAK,2833.2769674917727,11,847.2777524091094,766.7612666513194,80.51648575779006,Bike
SHORT,OFF_PEAK,1474.3486378591617,0,299.87540602689137,355.92181501017654,-56.046408983285176,Car
SHORT,OFF_PEAK,2125.179557228882,1,440.01662192515835,507.39659267997376,-67.37997075481542,Car
SHORT,OFF_PEAK,2146.7947559738154,1,499.401374715126,497.0689975366798,2.3323771784462224,Bike
SHORT,OFF_PEAK,344.08058041423203,0,69.86994165295503,83.65921547828803,-13.789273825332998,Car
SHORT,OFF_PEAK,277.5670686088541,2,127.70200678412833,139.5905632179596,-11.888556433831283,Car
SHORT,OFF_PEAK,2088.887913227679,2,522.5141609542695,448.8804423232558,73.63371863101372,Bike
SHORT,OFF_PEAK,868.3159758397302,0,197.56323804237795,209.32827008155255,-11.7650320391746,Car
SHORT,OFF_PEAK,679.9301552525112,5,368.6352476821298,343.6722764046773,24.962971277452482,Bike
SHORT,PEAK,1640.3678421777886,1,393.7394656183634,357.3879744272959,36.35149119106751,Bike
SHORT,PEAK,1855.1502067982458,1,555.292511965131,439.72846319235276,115.56404877277822,Bike
SHORT,PEAK,1842.0258995981933,3,563.0729191796602,457.0151965497957,106.05772262986449,Bike
